exclude_outliers,window,experiment,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,medium_32_35,MultiHI-Tabular,SVR-RBF,0.005681716359693531,0.0007751669737439166,0.004012471507361865,0.0010016313275782649,0.9885099466252489,0.0031578574522994566
False,medium_32_35,MultiHI-Tabular,XGBoost,0.0031181323639338466,0.0014808374362995508,0.0020396633756676165,0.0008837191117445761,0.9959837469918218,0.003196202372851835
False,medium_32_35,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.011990247634829075,0.007429151124711361,0.009696489198346798,0.007123154023601658,0.9338757388077019,0.08715870773144417
False,narrow_33_345,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.020647727772919795,0.03501883734334413,0.009825444656392627,0.014726008441650984,0.5139533891267789,1.0626864768005249
False,narrow_33_345,MultiHI-Tabular,CatBoost,0.005907581414425676,0.0023621853378977624,0.004632640102793686,0.001983302007207082,0.9861981325409175,0.010260965898538569
False,narrow_33_345,MultiHI-Tabular,ElasticNet,0.0061618629283873485,0.0023105389622965476,0.005139886044514678,0.002516934736352227,0.9850291598382803,0.012304153932674172
False,narrow_33_345,MultiHI-Tabular,ExtraTrees,0.0028158722673888026,0.0016394442297248866,0.001853195437330378,0.0009336662368736211,0.9964506944291435,0.003665198444638511
False,narrow_33_345,MultiHI-Tabular,HistGB,0.004796524955611909,0.00128045413330909,0.0028261747191918466,0.0008126780960493758,0.9914371592506261,0.004835900734771324
False,narrow_33_345,MultiHI-Tabular,KNN,0.010140746711868043,0.0029203696464307647,0.007490103686085325,0.0021524945313178036,0.9616987064593717,0.019163744376143207
False,narrow_33_345,MultiHI-Tabular,LightGBM,0.005236489760794846,0.0012622559474699843,0.0032218971133126167,0.0008696739403223738,0.9898667348858854,0.005302765228556347
False,narrow_33_345,MultiHI-Tabular,RandomForest,0.00270598765799693,0.0014069753469394028,0.001680249734191734,0.0007654296708333102,0.9968545413457243,0.003096319292349814
False,narrow_33_345,MultiHI-Tabular,Ridge,0.006216254840158524,0.002615761232856157,0.0052339914591665185,0.0028396605362579347,0.9843555233455945,0.0139453064851049
False,narrow_33_345,MultiHI-Tabular,SVR-RBF,0.006721440584189707,0.004403647401400431,0.0038818499305838016,0.0019936954080263768,0.9786325407153376,0.020532715093810248
False,narrow_33_345,MultiHI-Tabular,XGBoost,0.003404584873916533,0.001584228609341277,0.002193630945617429,0.0009254282833117541,0.9952048882600014,0.004125220169258638
False,narrow_33_345,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.025913835287993382,0.0017871981149853954,0.01249085107493139,0.0008105134149664267,0.7633478312513928,0.03878078652939605
